Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-03,APCX,14.725,15.200000000000001,14.25,14.25,14.25,1600
2022-01-04,APCX,13.822500000000002,15.200000000000001,10.165000000000001,13.68,13.68,7100
2022-01-05,APCX,2.89,3.15,2.22,2.3,2.3,1495800
2022-01-06,APCX,2.7,2.85,2.25,2.49,2.49,1209300
2022-01-07,APCX,2.55,2.57,2.01,2.2,2.2,330500
2022-01-10,APCX,2.25,2.25,1.71,1.89,1.89,564500
2022-01-11,APCX,1.89,2.18,1.791,2.15,2.15,136400
2022-01-12,APCX,2.05,2.39,1.99,2.24,2.24,121700
2022-01-13,APCX,2.17,2.23,2.03,2.08,2.08,65200
2022-01-14,APCX,2.05,2.41,2.05,2.22,2.22,136400
2022-01-18,APCX,2.22,2.33,2.12,2.31,2.31,101300
2022-01-19,APCX,2.31,2.31,2.0,2.19,2.19,90700
2022-01-20,APCX,2.04,2.11,1.94,1.995,1.995,80000
2022-01-21,APCX,2.007,2.05,1.75,1.93,1.93,78700
2022-01-24,APCX,1.91,1.91,1.7,1.8,1.8,108600
2022-01-25,APCX,1.7,1.724,1.55,1.69,1.69,140000
2022-01-26,APCX,1.76,1.87,1.696,1.71,1.71,12600
2022-01-27,APCX,1.71,1.82,1.61,1.61,1.61,64900
2022-01-28,APCX,1.68,1.795,1.55,1.755,1.755,77700
2022-01-31,APCX,1.867,1.915,1.75,1.77,1.77,28000
